team1_adjde,team1_adjoe,team1_fg2pct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_rpi_rating,team1_seed,team1_tempo,team2_adjde,team2_arate,team2_fg3pct,team2_oe,team2_oppftpct,team2_seed,APRdiff,result
98,116,50,50,32,69,1,3,67,97,58,33,100,69,14,16,1
92,113,52,46,35,70,1,2,64,95,67,38,112,73,3,33,1
98,116,50,50,32,69,1,3,67,96,56,36,111,70,7,69,1
92,113,52,46,35,70,1,2,64,87,59,40,112,67,1,-32,1
92,119,58,43,30,71,1,2,60,90,59,36,116,67,1,-10,1
105,112,56,49,35,71,1,15,70,89,56,35,111,66,2,-42,0
92,113,52,46,35,70,1,2,64,93,55,41,118,66,1,49,0
92,119,58,43,30,71,1,2,60,90,57,36,113,69,1,36,0
93,117,53,42,29,71,1,3,66,100,64,36,109,71,14,-72,1
93,109,50,44,33,68,1,3,61,98,56,37,106,71,14,-38,1
100,115,52,48,34,69,1,8,68,98,60,39,115,68,9,10,0
93,101,47,43,38,71,1,13,62,89,55,37,104,70,4,-3,0
93,109,50,44,33,68,1,3,61,101,64,37,109,70,6,-80,0
93,117,53,42,29,71,1,3,66,90,52,35,113,68,2,-15,0
90,110,51,43,30,69,1,4,74,98,56,37,111,69,13,-52,1
100,119,48,44,36,69,1,4,70,99,52,39,107,71,13,93,1
95,111,49,45,35,69,1,8,68,92,69,38,107,68,9,-9,0
99,117,50,45,34,69,1,6,70,98,62,35,111,66,11,9,0
96,109,50,44,31,70,1,5,67,93,59,35,105,70,12,-30,1
96,109,50,44,31,70,1,5,67,100,51,39,115,69,4,-65,1
100,113,52,44,34,69,1,10,69,96,54,38,110,71,7,17,0
95,104,49,47,33,73,0,11,67,101,64,37,109,70,6,-39,0
93,111,50,44,33,67,1,6,66,93,65,42,115,71,3,29,0
108,106,46,52,36,68,1,16,69,108,56,36,101,69,16,32,1
96,111,51,52,35,73,1,5,73,105,50,38,111,72,12,-28,1
96,111,51,52,35,73,1,5,73,98,51,37,109,71,4,-34,1
91,110,51,46,32,71,1,6,66,101,53,40,114,69,11,35,0
93,111,46,45,35,70,0,9,67,95,60,35,108,65,8,49,0
92,109,51,42,32,68,1,9,61,90,59,36,116,67,1,8,0
96,111,51,52,35,73,1,5,73,90,57,36,113,69,1,-2,0
93,108,51,47,33,70,1,9,66,100,59,34,113,69,8,-55,1
96,110,50,46,35,66,1,5,66,89,62,35,103,69,12,-2,1
99,109,47,52,34,67,1,10,67,101,57,35,112,70,7,-16,0
103,100,56,52,36,67,1,16,62,90,59,36,116,67,1,-10,0
93,108,51,47,33,70,1,9,66,93,55,41,118,66,1,-25,0
98,110,48,44,35,71,1,4,71,101,55,37,107,71,13,-8,1
101,114,54,49,33,70,0,7,66,92,59,37,115,71,2,-1,0
96,114,49,46,31,71,1,7,64,92,55,37,111,70,2,-20,0
101,113,51,50,34,70,1,6,68,92,59,37,115,71,2,40,0
96,107,49,44,34,70,1,11,66,93,59,33,107,67,6,13,0
86,112,53,43,30,68,1,1,70,103,52,35,101,67,16,-9,1
86,112,53,43,30,68,1,1,70,92,51,33,105,68,8,22,1
86,112,53,43,30,68,1,1,70,94,66,37,110,67,5,-50,1
86,112,53,43,30,68,1,1,70,89,54,35,114,68,1,-33,1
86,112,53,43,30,68,1,1,70,90,61,40,118,68,1,-65,0
93,119,52,48,33,67,1,1,76,98,53,36,101,70,16,-9,1
93,119,52,48,33,67,1,1,76,94,59,37,112,72,4,-5,1
93,119,52,48,33,67,1,1,76,89,58,35,106,68,3,-24,1
89,116,52,45,33,68,1,1,65,104,52,34,93,66,16,38,1
90,121,55,41,33,68,0,1,69,98,60,33,106,67,8,80,1
89,116,52,45,33,68,1,1,65,94,60,39,115,68,3,-8,1
90,121,55,41,33,68,0,1,69,93,52,37,115,67,1,59,1
87,112,49,42,31,68,1,3,62,104,51,38,113,67,14,-15,1
96,113,51,48,32,66,1,7,60,100,61,37,113,67,10,48,1
96,116,52,50,31,67,1,2,73,105,55,41,107,73,15,-57,1
96,116,52,50,31,67,1,2,73,96,57,38,113,66,7,-55,1
95,119,49,43,33,69,1,2,65,103,59,38,109,69,15,-22,1
95,119,49,43,33,69,1,2,65,91,58,37,109,66,3,-24,1
95,119,49,43,33,69,1,2,65,86,56,35,113,68,1,9,0
91,115,52,47,33,67,1,2,74,105,62,36,110,70,15,-11,1
94,113,52,45,34,68,1,3,65,96,47,33,101,65,14,31,1
90,113,56,41,30,68,1,2,62,108,57,38,114,72,15,0,1
96,109,51,46,33,70,1,12,69,98,60,37,115,67,5,-5,1
96,109,51,46,33,70,1,12,69,96,55,34,99,67,13,-9,1
91,115,52,47,33,67,1,2,74,95,58,36,111,66,7,24,0
96,109,51,46,33,70,1,12,69,89,54,35,114,68,1,4,0
98,114,51,47,33,69,1,4,66,93,56,37,105,75,13,51,1
98,110,48,47,30,67,1,8,65,93,58,37,106,67,9,-9,1
92,113,53,47,35,63,1,10,68,96,54,37,111,65,7,25,1
91,112,48,42,33,66,1,3,64,92,56,36,109,68,6,-2,1
92,113,53,47,35,63,1,10,68,90,62,38,111,68,2,58,1
92,113,53,47,35,63,1,10,68,87,54,36,109,68,3,52,1
99,110,51,48,35,69,1,4,71,99,53,38,109,65,13,40,0
92,113,53,47,35,63,1,10,68,90,61,40,118,68,1,0,0
94,113,52,46,31,67,1,5,64,98,57,34,111,69,4,20,1
94,107,52,44,31,69,1,10,68,98,51,38,107,67,7,-14,0
92,111,49,47,30,68,1,6,69,97,54,37,103,71,11,-9,1
98,115,48,45,34,65,1,5,71,100,54,35,110,72,12,-13,1
92,109,51,42,34,66,1,9,65,91,65,37,105,71,8,-38,1
94,114,53,45,33,72,1,4,59,92,54,37,102,70,13,-40,1
95,110,50,45,36,66,1,7,66,97,62,40,109,70,10,16,1
89,110,54,43,30,68,1,3,67,103,60,39,110,71,14,3,1
94,114,53,45,33,72,1,4,59,98,67,40,113,65,5,-36,1
89,110,54,43,30,68,1,3,67,94,52,35,104,73,6,39,1
89,110,54,43,30,68,1,3,67,96,61,36,113,67,2,56,1
92,112,50,49,30,72,1,5,71,95,54,34,105,68,12,-56,0
92,109,51,42,34,66,1,9,65,89,54,35,114,68,1,-15,0
91,108,45,48,35,67,1,6,66,94,60,39,115,68,3,-76,0
95,110,50,45,36,66,1,7,66,94,60,39,115,68,3,-16,0
102,107,51,50,36,72,1,16,67,90,61,40,118,68,1,-47,0
92,105,53,40,32,68,1,8,69,102,56,39,113,69,9,-62,1
105,110,53,46,37,70,1,14,69,91,58,37,109,66,3,9,0
96,108,52,48,33,70,1,9,69,93,52,37,115,67,1,-35,0
98,110,46,44,36,67,1,7,68,95,48,38,114,69,2,20,0
96,100,49,48,34,67,1,13,65,97,56,36,110,68,4,42,1
99,111,53,46,36,72,1,12,66,94,66,37,110,67,5,-47,0
100,114,50,46,35,71,1,11,71,91,56,38,104,67,6,89,0
100,113,53,48,37,68,0,11,65,94,52,35,104,73,6,18,0
95,112,50,45,37,65,1,11,72,92,50,39,104,69,6,-6,1
95,107,48,49,36,68,1,12,69,99,53,38,109,65,13,50,1
95,112,50,45,37,65,1,11,72,87,54,36,109,68,3,-48,0
95,107,48,49,36,68,1,12,69,90,61,40,118,68,1,-15,0
104,93,42,49,35,66,1,16,64,98,53,36,101,70,16,-38,0
95,112,52,45,34,65,1,8,67,96,54,34,106,70,9,42,0
81,108,51,40,30,69,1,2,68,92,62,35,112,67,3,66,0
94,117,50,47,34,69,1,2,69,101,49,33,103,70,15,34,1
95,122,51,45,34,69,1,1,76,101,52,35,103,71,16,27,1
93,120,53,45,33,70,1,1,67,100,45,34,108,69,16,1,1
94,117,50,47,34,69,1,2,69,94,49,33,107,67,7,31,1
95,122,51,45,34,69,1,1,76,96,56,37,109,69,8,42,1
86,108,51,43,31,68,1,1,69,98,53,33,108,68,9,-7,1
92,112,53,47,30,67,1,3,72,97,58,35,113,67,6,-67,1
93,120,53,45,33,70,1,1,67,97,47,38,111,70,8,28,1
95,122,51,45,34,69,1,1,76,93,53,39,115,68,4,-16,1
95,122,51,45,34,69,1,1,76,96,53,35,114,69,2,12,1
95,122,51,45,34,69,1,1,76,92,56,35,110,68,3,-20,1
95,122,51,45,34,69,1,1,76,91,64,35,109,70,2,-40,1
92,112,53,47,30,67,1,3,72,88,57,34,112,70,1,-22,0
86,108,51,43,31,68,1,1,69,91,64,35,109,70,2,-49,0
96,117,57,43,34,69,1,2,69,98,46,34,102,69,15,83,1
88,112,51,41,30,70,1,1,67,98,52,36,108,69,9,-56,1
88,112,51,41,30,70,1,1,67,91,64,35,109,70,2,-70,0
93,115,53,39,35,68,0,4,68,95,54,33,101,70,13,25,1
92,112,50,45,34,68,1,3,69,99,56,37,105,73,14,-1,1
96,117,55,48,30,64,1,3,71,90,52,31,98,71,14,-22,1
93,115,53,39,35,68,0,4,68,102,53,38,110,69,12,2,1
92,112,50,45,34,68,1,3,69,96,56,40,116,70,6,12,1
91,111,49,47,32,70,1,2,66,92,50,33,105,71,10,76,1
92,112,50,45,34,68,1,3,69,94,50,35,112,69,2,0,1
91,111,49,47,32,70,1,2,66,92,58,37,110,73,3,0,1
92,112,50,45,34,68,1,3,69,93,61,35,117,70,1,18,1
94,108,51,42,33,71,1,9,63,96,56,37,109,69,8,82,0
102,113,52,49,35,72,1,14,68,92,58,37,110,73,3,-28,0
96,117,55,48,30,64,1,3,71,96,53,35,114,69,2,-36,0
90,109,49,42,33,67,1,5,65,99,54,34,108,71,12,-27,1
96,118,53,48,36,70,1,6,65,95,54,37,108,71,11,-7,1
91,111,48,45,33,68,1,4,72,96,50,36,104,65,13,58,1
92,109,49,41,33,66,1,4,67,104,58,38,109,71,13,26,1
90,109,49,42,33,67,1,5,65,91,46,34,108,68,4,-71,1
92,113,53,41,33,73,1,3,70,94,58,33,102,70,11,21,1
92,109,49,41,33,66,1,4,67,96,53,36,109,72,12,37,1
94,113,54,46,30,70,1,8,69,98,52,36,108,69,9,9,0
90,109,49,42,33,67,1,5,65,88,57,34,112,70,1,-11,0
92,109,49,41,33,66,1,4,67,93,61,35,117,70,1,23,0
95,116,57,46,32,74,1,6,60,95,62,37,106,67,11,38,1
97,116,51,50,35,67,1,6,70,102,63,39,118,74,11,29,1
88,104,51,44,30,63,1,5,63,102,53,38,110,69,12,-26,0
92,109,54,42,35,72,1,5,65,101,56,39,111,69,12,35,0
92,110,54,45,30,70,1,4,75,93,57,30,101,69,13,15,0
98,100,51,46,37,67,1,15,67,91,64,35,109,70,2,-55,0
95,116,57,46,32,74,1,6,60,96,62,35,110,64,3,60,0
91,113,48,47,30,68,1,6,66,94,58,33,102,70,11,11,0
103,101,52,43,30,66,1,16,66,101,53,33,104,68,16,42,0
99,116,50,48,35,71,0,7,66,95,55,33,103,69,10,0,0
91,105,50,43,36,73,1,10,64,94,49,33,107,67,7,11,0
98,113,54,45,35,69,1,8,62,98,53,33,108,68,9,-29,0
92,108,51,44,34,71,1,10,65,101,57,33,110,69,7,-54,1
102,106,50,47,31,70,1,14,66,92,62,35,112,67,3,71,0
99,113,53,51,34,69,1,9,72,97,47,38,111,70,8,-28,0
98,111,50,50,31,72,1,10,62,98,52,37,112,67,7,10,1
95,108,46,46,35,69,1,10,69,81,54,33,109,69,2,-26,0
98,111,50,50,31,72,1,10,62,96,53,35,114,69,2,8,0
96,112,48,49,33,72,1,12,59,90,52,34,100,69,5,4,1
101,116,51,50,35,69,1,12,64,93,57,30,101,69,13,6,1
101,102,47,46,36,68,1,16,67,86,62,37,106,68,1,-45,0
101,116,51,50,35,69,1,12,64,86,62,37,106,68,1,-1,0
108,105,50,51,36,65,1,16,71,88,57,34,112,70,1,9,0
95,100,50,48,33,73,0,15,72,81,54,33,109,69,2,-104,0
89,119,53,40,33,69,1,1,70,106,59,40,107,71,16,6,1
90,112,55,41,31,69,1,1,70,97,45,31,100,66,16,-16,1
90,112,55,41,31,69,1,1,70,93,45,31,101,69,9,21,1
89,119,53,40,33,69,1,1,70,89,49,35,107,69,9,34,0
94,107,54,41,34,69,1,13,68,90,55,34,108,68,5,-68,0
98,113,48,49,33,67,1,3,68,99,49,39,109,66,14,-35,1
89,117,47,44,28,69,1,1,68,99,52,37,114,69,8,42,1
89,117,47,44,28,69,1,1,68,89,57,32,107,71,4,36,1
89,117,47,44,28,69,1,1,68,96,51,38,113,68,3,18,1
89,117,47,44,28,69,1,1,68,90,55,34,108,68,5,-10,1
87,106,48,43,28,70,1,5,62,102,59,43,113,72,12,-34,0
94,116,51,45,34,69,0,7,71,92,55,36,110,70,2,54,0
90,108,51,46,32,68,1,5,65,90,55,34,107,67,12,96,1
89,106,48,45,33,69,1,9,59,93,61,33,107,71,8,5,1
92,116,57,46,30,64,1,1,71,100,51,32,105,69,16,-52,1
92,116,57,46,30,64,1,1,71,96,50,35,111,65,8,-57,1
90,108,51,46,32,68,1,5,65,92,65,39,114,64,1,72,1
90,108,51,46,32,68,1,5,65,92,55,36,110,70,2,63,1
90,108,51,46,32,68,1,5,65,92,62,34,108,71,5,5,1
89,106,48,45,33,69,1,9,59,92,62,34,108,71,5,-29,0
93,116,48,46,32,68,1,2,64,102,48,33,108,68,15,105,1
102,114,51,47,34,72,1,12,66,91,53,36,111,69,4,40,1
93,116,48,46,32,68,1,2,64,90,53,33,112,69,1,21,1
95,108,50,47,33,64,1,13,70,89,57,32,107,71,4,7,0
95,114,52,45,32,71,1,12,63,92,51,34,107,70,5,-2,0
102,114,51,47,34,72,1,12,66,90,53,33,112,69,1,14,0
93,116,48,46,32,68,1,2,64,89,53,38,115,69,1,5,0
97,114,52,46,30,66,1,10,67,93,51,36,104,71,7,-18,1
97,114,52,46,30,66,1,10,67,96,51,38,113,68,3,-16,0
96,118,53,41,34,68,1,3,68,103,72,38,112,69,14,15,1
90,104,52,46,30,70,1,6,71,94,52,32,108,70,11,-31,1
96,118,53,41,34,68,1,3,68,91,60,32,106,66,11,11,1
90,104,52,46,30,70,1,6,71,98,57,36,104,70,14,-3,1
90,104,52,46,30,70,1,6,71,93,55,39,114,71,2,-45,1
96,117,50,46,34,71,1,2,73,100,53,36,101,72,15,8,1
95,110,49,46,32,68,1,11,73,94,60,41,111,68,6,0,1
92,109,52,45,33,71,1,5,67,105,53,37,109,69,12,89,1
93,110,49,44,31,66,1,3,62,104,49,32,107,68,14,9,1
95,110,49,46,32,68,1,11,73,98,56,37,112,67,3,48,1
92,109,52,45,33,71,1,5,67,96,56,39,111,70,4,47,1
96,114,50,46,30,65,1,6,71,93,66,34,107,66,3,-5,1
92,109,52,45,33,71,1,5,67,90,53,32,103,70,6,88,1
102,102,51,47,33,71,0,15,69,92,55,36,110,70,2,9,0
97,112,51,45,34,63,1,4,70,94,57,38,112,69,13,42,0
96,117,50,46,34,71,1,2,73,97,57,41,116,66,10,18,0
96,114,50,46,30,65,1,6,71,92,55,36,110,70,2,43,0
95,110,49,46,32,68,1,11,73,93,62,34,112,68,2,-15,0
96,116,50,42,34,70,1,4,70,103,45,36,109,71,13,41,1
91,113,50,45,34,69,1,4,60,93,57,35,104,68,13,-16,1
100,118,51,48,35,74,1,6,64,91,60,32,106,66,11,28,0
92,110,49,45,34,70,1,5,66,89,57,32,107,71,4,-2,0
91,107,49,43,31,67,1,10,71,95,49,35,108,70,7,-12,1
92,107,48,45,32,70,1,10,72,91,53,34,105,68,7,-68,1
87,102,51,40,33,67,1,9,68,96,50,35,111,65,8,-59,0
91,107,49,43,31,67,1,10,71,93,55,39,114,71,2,-37,0
92,107,48,45,32,70,1,10,72,93,62,34,112,68,2,-99,0
98,106,46,47,31,70,1,14,69,94,58,39,110,72,3,-27,1
98,111,51,48,33,68,1,10,67,94,55,41,116,69,7,-27,0
95,111,50,44,34,68,1,11,66,96,51,38,111,65,6,-16,0
98,113,52,47,35,70,1,9,68,99,52,37,114,69,8,17,0
97,99,48,49,31,67,1,15,67,93,55,39,114,71,2,-35,0
93,105,47,44,29,69,1,9,71,95,49,34,109,68,8,-17,1
93,91,43,46,30,67,1,16,67,97,58,30,93,66,16,77,0
97,90,45,44,32,66,1,16,68,89,53,38,115,69,1,-91,0
89,112,50,43,32,72,1,2,64,101,51,38,107,71,15,-26,1
93,118,57,44,30,73,1,1,70,93,64,39,107,72,9,52,1
93,123,53,47,34,74,1,1,64,96,55,40,113,68,8,-13,1
93,118,57,44,30,73,1,1,70,96,59,39,109,69,12,5,1
89,112,50,43,32,72,1,2,64,94,51,33,109,68,3,46,0
93,118,57,44,30,73,1,1,70,101,60,37,108,68,11,44,0
96,117,50,45,33,69,0,3,71,104,55,40,112,72,14,22,1
96,117,50,45,33,69,0,3,71,95,58,36,111,70,11,6,1
90,108,52,43,30,68,1,12,64,92,56,37,105,71,5,4,0
93,110,52,44,34,68,1,13,70,97,55,37,118,74,4,52,0
91,117,52,43,32,65,1,1,71,98,55,40,113,68,5,26,0
96,117,50,45,33,69,0,3,71,95,54,35,109,67,2,2,0
92,117,51,43,33,68,1,1,64,97,56,32,101,69,16,36,1
90,114,48,42,29,69,1,4,68,104,53,37,117,73,13,-14,1
